cachesize,blocksize,prefetchsize,hitrate
260.0,26.0,26.0,71.81
260.0,52.0,26.0,74.3
260.0,78.0,26.0,74.96
260.0,104.0,26.0,75.25
260.0,130.0,26.0,75.3
260.0,156.0,26.0,74.71
260.0,182.0,26.0,74.41
260.0,208.0,26.0,74.43
260.0,234.0,26.0,74.59
