cachesize,blocksize,prefetchsize,hitrate
170.0,85.0,17.0,74.0
170.0,85.0,34.0,74.0
170.0,85.0,51.0,73.99
170.0,85.0,68.0,73.99
170.0,85.0,85.0,73.99
170.0,85.0,102.0,73.99
170.0,85.0,119.0,73.99
170.0,85.0,136.0,73.99
170.0,85.0,153.0,73.99
0.0,85.0,-2.147483648E9,74.0
