cachesize,blocksize,prefetchsize,hitrate
170.0,17.0,17.0,66.24
170.0,34.0,17.0,71.64
170.0,51.0,17.0,73.36
170.0,68.0,17.0,73.83
170.0,85.0,17.0,74.0
170.0,102.0,17.0,73.76
170.0,119.0,17.0,73.37
170.0,136.0,17.0,73.55
170.0,153.0,17.0,73.33
