cachesize,blocksize,prefetchsize,hitrate
7620.0,762.0,762.0,95.71
7620.0,762.0,1524.0,95.68
7620.0,762.0,2286.0,95.65
7620.0,762.0,3048.0,95.64
7620.0,762.0,3810.0,95.62
7620.0,762.0,4572.0,95.61
7620.0,762.0,5334.0,95.6
7620.0,762.0,6096.0,95.59
7620.0,762.0,6858.0,95.59
0.0,762.0,-2.147483648E9,95.71
