cachesize,blocksize,prefetchsize,hitrate
240.0,24.0,24.0,79.73
240.0,48.0,24.0,81.16
240.0,72.0,24.0,80.83
240.0,96.0,24.0,80.27
240.0,120.0,24.0,79.75
240.0,144.0,24.0,78.26
240.0,168.0,24.0,77.21
240.0,192.0,24.0,76.41
240.0,216.0,24.0,75.81
