#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 17597, total_files_alive: 3077, cacheTableSize: 16297, cachesize: 310, blocksize: 310, prefetchsize: 31, cache replacement policy: LRU
file_id,loc,last_type,duration
49147,-1,3,1
49147,-1,2,649
49147,-1,1,0
49147,-1,1,0
49147,-1,1,0
49147,-1,1,0
49147,-1,1,2
49147,-1,1,0
49147,-1,1,0
49147,-1,1,0
49145,-1,1,0
49145,-1,1,0
49145,-1,1,1299
49145,-1,2,1299
49145,-1,1,1299
49145,-1,1,1354
49145,-1,1,0
49144,129,1,0
49144,129,1,0
49144,129,1,0
24569,-1,1,0
24569,-1,1,0
24569,-1,1,0
24568,-1,3,0
24568,-1,1,0
24568,-1,1,0
24568,-1,1,0
24568,-1,1,0
24568,-1,1,0
24568,-1,1,0
49142,-1,1,0
49142,-1,1,0
49142,-1,1,0
49142,-1,1,0
24567,-1,1,0
24567,-1,1,0
24567,-1,1,0
24567,-1,2,0
24567,-1,2,0
24567,-1,1,0
24567,-1,1,0
24567,-1,1,0
24567,-1,1,0
24567,-1,1,0
24567,-1,2,0
24567,-1,1,0
49141,-1,1,0
49141,-1,1,0
49141,-1,1,0
49141,-1,1,0
49141,-1,1,0
49141,-1,1,0
49141,-1,1,0
49141,-1,1,0
49141,-1,1,0
49141,-1,1,0
49141,-1,1,0
49141,-1,1,0
49141,-1,1,0
49140,-1,1,0
49140,-1,1,0
49140,-1,1,0
49140,-1,1,0
49140,-1,1,0
49140,-1,1,0
49140,-1,1,0
49140,-1,1,0
49140,-1,1,0
49140,-1,1,0
49139,-1,1,0
49139,-1,1,0
49139,-1,1,0
49139,-1,1,0
49139,-1,1,0
49139,-1,1,0
49139,-1,1,0
49139,-1,1,0
49139,-1,1,0
49139,-1,1,0
49139,-1,1,0
49138,-1,1,0
49138,-1,1,0
49138,-1,1,0
49138,-1,1,0
49138,-1,1,0
49138,-1,1,0
49138,-1,1,0
49138,-1,1,0
49137,-1,1,0
49137,-1,1,0
49137,-1,1,0
49137,-1,1,0
49137,-1,1,0
49137,-1,1,0
