cachesize,blocksize,prefetchsize,hitrate
140.0,14.0,14.0,84.63
140.0,28.0,14.0,87.8
140.0,42.0,14.0,88.74
140.0,56.0,14.0,88.89
140.0,70.0,14.0,88.8
140.0,84.0,14.0,88.43
140.0,98.0,14.0,87.74
140.0,112.0,14.0,87.41
140.0,126.0,14.0,87.0
