cachesize,blocksize,prefetchsize,hitrate
110.0,11.0,11.0,76.0
110.0,22.0,11.0,80.75
110.0,33.0,11.0,80.3
110.0,44.0,11.0,78.35
110.0,55.0,11.0,77.01
110.0,66.0,11.0,74.54
110.0,77.0,11.0,73.69
110.0,88.0,11.0,72.81
110.0,99.0,11.0,72.23
