cachesize,blocksize,prefetchsize,hitrate
110.0,22.0,11.0,80.75
110.0,22.0,22.0,80.75
110.0,22.0,33.0,80.76
110.0,22.0,44.0,80.76
110.0,22.0,55.0,80.76
110.0,22.0,66.0,80.75
110.0,22.0,77.0,80.76
110.0,22.0,88.0,80.74
110.0,22.0,99.0,80.74
