cachesize,blocksize,prefetchsize,hitrate
340.0,136.0,34.0,77.44
340.0,136.0,68.0,77.47
340.0,136.0,102.0,77.5
340.0,136.0,136.0,77.52
340.0,136.0,170.0,77.55
340.0,136.0,204.0,77.57
340.0,136.0,238.0,77.59
340.0,136.0,272.0,77.6
340.0,136.0,306.0,77.59
0.0,136.0,272.0,77.6
