cachesize,blocksize,prefetchsize,hitrate
310.0,31.0,31.0,72.51
310.0,62.0,31.0,74.64
310.0,93.0,31.0,74.24
310.0,124.0,31.0,73.39
310.0,155.0,31.0,72.48
310.0,186.0,31.0,70.78
310.0,217.0,31.0,69.78
310.0,248.0,31.0,69.2
310.0,279.0,31.0,69.04
