#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 2807, total_files_alive: 1418, cacheTableSize: 2574, cachesize: 140, blocksize: 140, prefetchsize: 14, cache replacement policy: LRU
file_id,loc,last_type,duration
6142,100,1,0
6142,100,1,0
6142,100,1,0
6142,100,1,0
6142,100,1,0
6130,141,3,0
6130,141,2,10
6130,141,1,0
6120,131,3,149
6120,131,2,0
6120,131,2,0
6108,157,1,0
6108,157,1,0
6108,157,1,0
6108,157,1,0
6108,157,1,0
6108,157,1,0
6107,135,1,0
6107,135,1,0
6107,135,1,0
6107,135,1,0
6107,135,1,0
6106,78,1,0
6106,78,1,0
6106,78,1,0
6106,78,1,0
6106,78,1,4832
6106,78,1,0
6106,78,1,0
6105,253,1,0
6105,253,1,0
6105,253,1,72
6105,253,1,0
6105,253,1,0
6105,253,1,128
6105,253,1,0
6105,253,1,1079
6105,253,1,0
6105,253,1,0
6105,253,1,0
6104,65,1,0
6104,65,1,0
6104,65,1,0
6104,65,1,0
6104,65,1,0
6103,252,3,0
6103,252,1,0
6103,252,1,72
6103,252,1,0
6103,252,1,0
6103,252,1,128
6103,252,1,165
6103,252,2,179
6103,252,1,0
6103,252,1,0
6103,252,1,0
6102,90,1,0
6102,90,1,0
6102,90,1,0
6102,90,1,0
6102,90,1,0
6101,173,1,0
6101,173,1,0
6101,173,1,72
6101,173,1,0
6101,173,1,0
6101,173,1,0
6101,173,1,0
6101,173,1,0
6096,-1,2,0
6096,-1,2,0
6096,-1,2,0
6089,127,1,0
6089,127,1,0
6089,127,1,0
6082,75,1,0
6082,75,1,0
6082,75,1,0
6082,75,1,0
6081,83,1,0
6081,83,1,0
6081,83,1,0
6081,83,1,0
6080,142,1,0
6080,142,1,0
6080,142,1,0
6074,78,1,0
6074,78,1,0
6074,78,1,0
6074,78,1,0
6062,23,3,0
6055,-1,1,0
6055,-1,1,0
6055,-1,1,0
6055,-1,1,0
6055,-1,1,0
6049,-1,1,0
6049,-1,1,0
6049,-1,1,0
6049,-1,1,0
6049,-1,1,0
6049,-1,1,0
6049,-1,1,59
6048,111,1,0
6048,111,1,0
6048,111,1,0
6048,111,1,0
6048,111,1,2
6048,111,1,0
6048,111,1,0
6048,111,1,59
6048,111,1,0
6048,111,1,158
6048,111,1,1079
6048,111,1,0
6048,111,1,0
6035,-1,1,0
6035,-1,1,0
6035,-1,1,0
6034,54,3,0
6001,-1,3,0
6001,-1,1,0
6001,-1,1,1443
6001,-1,1,9047
6001,-1,1,0
6001,-1,1,0
6001,-1,1,395
6001,-1,1,29
6001,-1,1,0
6001,-1,1,0
6001,-1,1,0
6001,-1,1,1037
6001,-1,1,0
6001,-1,1,0
6001,-1,1,0
6001,-1,1,134
6001,-1,1,0
5999,380,1,1443
5999,380,1,9047
5999,380,1,10481
5999,380,1,0
5999,380,1,0
5999,380,1,0
5999,380,1,0
5999,380,1,0
5999,380,1,0
5999,380,1,47
5999,380,1,2
5999,380,1,0
5999,380,1,0
5999,380,1,0
5999,380,1,179
5999,380,1,189
5999,380,1,0
5999,380,1,0
5999,380,1,0
5999,380,1,0
5999,380,1,0
5998,691,1,0
5998,691,1,1443
5998,691,1,0
5998,691,1,0
5998,691,1,0
5998,691,1,8415
5998,691,1,0
5998,691,1,0
5998,691,1,0
5998,691,1,0
5998,691,1,0
5998,691,1,59
5998,691,1,158
5998,691,1,165
5998,691,1,189
5998,691,1,1037
5998,691,1,1132
5998,691,1,0
5998,691,1,4832
5998,691,1,134
5998,691,1,0
5998,691,1,0
5998,691,1,0
5997,574,1,0
5997,574,1,0
5997,574,1,0
5997,574,1,0
5997,574,1,0
5997,574,1,0
5997,574,1,0
5997,574,1,4
5997,574,1,189
5997,574,1,1037
5997,574,1,0
5997,574,1,0
5997,574,1,0
5997,574,1,0
5997,574,1,0
5996,106,1,0
5996,106,1,0
5996,106,1,0
5996,106,1,0
5996,106,1,0
5995,497,1,0
5995,497,1,1443
5995,497,1,9047
5995,497,1,10481
5995,497,2,0
5995,497,1,0
5995,497,1,395
5995,497,1,0
5995,497,1,0
5995,497,1,0
5995,497,1,0
5995,497,1,0
5995,497,1,47
5995,497,1,2
5995,497,1,0
5995,497,1,0
5995,497,1,59
5995,497,1,0
5995,497,1,158
5995,497,1,179
5995,497,1,0
5995,497,2,0
5995,497,1,0
