#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 10041, total_files_alive: 3926, cacheTableSize: 10025, cachesize: 390, blocksize: 390, prefetchsize: 39, cache replacement policy: LRU
file_id,loc,last_type,duration
23544,265,3,53769
23544,265,2,9523
23544,265,2,621
23543,100,3,63293
23543,100,2,79206
23539,147,3,9982
23531,40,3,14048
23531,40,2,1
23526,66,3,4212
23526,66,2,9836
23526,66,2,34555
23522,177,3,4076
23521,47,3,2680
23518,70,3,1417
23518,70,2,2599
23510,150,3,1417
23509,59,3,116551
23507,135,3,82
23507,135,2,1552
23507,135,2,2766
23507,135,2,2893
23507,135,2,99670
23507,135,2,16083
23498,55,3,68421
23498,55,2,82
23498,55,2,722
23498,55,2,106198
23497,118,3,25
23497,118,2,2442
23497,118,2,66036
23497,118,2,1551
23497,118,2,317
23497,118,2,895
23494,421,3,19
23493,695,3,19
23479,421,3,0
23478,695,3,0
23468,129,3,0
23468,129,2,0
23468,129,2,0
23468,129,2,0
23466,70,3,1
23466,70,2,0
23456,150,3,1
23453,46,3,2
23453,46,2,0
23453,46,2,0
23452,118,3,0
23452,118,2,0
23452,118,2,2
23452,118,2,0
23452,118,2,0
23452,118,2,0
23450,124,3,0
23450,124,2,34090
23450,124,2,0
23449,110,3,0
23449,110,2,0
23449,110,2,0
23449,110,2,0
23449,110,2,0
23447,102,3,218953
23447,102,2,130956
23444,22,3,213289
23440,30,3,213289
23439,217,3,5188
23439,217,2,3
23439,217,2,15
23439,217,2,218954
23439,217,2,2818
23439,217,2,128138
23439,217,2,1522
23438,131,3,8
23438,131,2,234
23438,131,2,5178
23437,152,3,9
23437,152,2,233
23437,152,2,149
23437,152,2,5029
23436,133,3,92258
23433,143,3,275121
23424,74,3,27
23424,74,2,1027
23424,74,2,82529
23421,40,3,61648
23418,26,3,83623
23418,26,2,275121
23417,980,3,83623
23417,980,2,275121
23242,49,3,41693
23236,102,3,7817
23230,722,3,163443
23221,185,3,312066
23221,185,2,14
23221,185,2,8220
23218,217,3,289987
23218,217,2,20641
23217,175,3,113067
23217,175,2,30187
23217,175,2,166241
23216,117,3,7983
23212,226,3,113067
23212,226,2,5568
23212,226,2,24618
23210,90,3,7983
23209,102,3,7983
23207,65,3,113067
23207,65,2,30187
23206,145,3,107727
23206,145,2,5339
23206,145,2,220284
23205,218,3,113067
23205,218,2,30187
23204,48,3,5507
23204,48,2,101987
23204,48,2,8393
23203,45,3,41693
23202,26,3,41693
23195,182,3,7983
23195,182,2,323856
23195,182,2,132529
23193,92,3,144589
23192,44,3,334707
23105,168,3,21026
23093,143,3,1353
23093,143,2,19843
23093,143,2,11323
23093,143,2,4323
23082,125,3,21227
23082,125,2,7
23082,125,2,2633
23082,125,2,1
23082,125,2,3080
23082,125,2,57996
23081,34,3,21235
23080,219,3,21227
23080,219,2,7
23080,219,2,15662
23080,219,2,48050
23078,41,3,21235
23078,41,2,52287
23073,90,3,21235
23073,90,2,52287
23073,90,2,11425
23047,1281,2,28317
23036,890,2,15862
23018,536,2,162
23018,536,2,199
23018,536,2,1054
23018,536,2,32138
23018,536,2,15862
23018,536,2,62
23018,536,2,15607
23017,483,2,72
23017,483,2,995
23017,483,2,1054
23015,747,2,45353
23015,747,2,72
22974,462,2,428973
22969,311,2,52579
22966,266,3,52579
22965,99,3,52579
22965,99,2,79823
22960,147,3,12
22949,40,3,12
22949,40,2,0
22944,66,3,7
22944,66,2,11
22940,177,3,6
22939,113,3,78
22930,223,2,0
22929,70,3,0
22929,70,2,0
22904,150,3,0
22891,478,2,69231
22891,478,2,5600
22891,478,2,144799
22867,387,2,8038
22867,387,2,71918
22860,398,2,8038
22860,398,2,71918
22860,398,2,71994
22857,110,3,9
22857,110,2,11813
22857,110,2,145698
22856,90,2,0
22847,157,2,96339
22847,157,2,17
22847,157,2,45
22842,41,2,22
22841,61,3,22
22841,61,2,29896
22841,61,2,157521
22841,61,2,2330
22840,285,2,0
22840,285,2,21
22840,285,2,29897
22840,285,2,157521
22840,285,2,2330
22839,116,3,0
22839,116,2,0
22839,116,2,21
22831,481,2,22876
22830,665,2,22876
22830,665,2,120184
22830,665,2,72
22830,665,2,992
22830,665,2,1057
22830,665,2,63669
22828,609,2,3
22814,244,2,48746
22794,90,2,239941
22783,870,2,239188
22783,870,2,72
22783,870,2,992
22783,870,2,1057
22783,870,2,63669
22781,312,2,142592
22781,312,2,11448
22774,324,2,142592
22774,324,2,11448
22763,338,2,124235
22753,529,2,175374
22753,529,2,52579
22753,529,2,110429
22750,418,2,1963
22638,141,2,203667
22636,876,2,158692
22629,86,2,203667
22629,86,2,158692
22619,143,3,100988
22619,143,2,358745
22618,143,3,100988
22618,143,2,358745
22617,143,3,100988
22617,143,2,83623
22617,143,2,275121
22616,143,3,100988
22616,143,2,83623
22616,143,2,275121
22615,143,3,100988
22615,143,2,83623
22615,143,2,275121
22614,143,3,100988
22614,143,2,83623
22614,143,2,275121
22613,143,3,100988
22613,143,2,83623
22613,143,2,275121
22612,143,3,100988
22612,143,2,358745
22611,143,3,100988
22611,143,2,358745
22610,143,3,100988
22610,143,2,358745
22609,143,3,100988
22609,143,2,358745
22604,143,3,100988
22604,143,2,83623
22604,143,2,275121
22603,143,3,100988
22603,143,2,83623
22603,143,2,275121
22602,143,3,100988
22602,143,2,83623
22602,143,2,275121
22601,143,3,100988
22601,143,2,83623
22601,143,2,275121
22600,128,3,100988
22599,128,3,100988
22598,128,3,100988
22597,128,3,100988
22596,143,3,100988
22596,143,2,83623
22596,143,2,275121
