cachesize,blocksize,prefetchsize,hitrate
390.0,351.0,39.0,75.02
390.0,351.0,78.0,75.01
390.0,351.0,117.0,75.02
390.0,351.0,156.0,75.04
390.0,351.0,195.0,75.02
390.0,351.0,234.0,75.03
390.0,351.0,273.0,75.02
390.0,351.0,312.0,75.01
390.0,351.0,351.0,75.01
0.0,351.0,156.0,75.04
