cachesize,blocksize,prefetchsize,hitrate
390.0,39.0,39.0,57.07
390.0,78.0,39.0,61.57
390.0,117.0,39.0,65.54
390.0,156.0,39.0,68.87
390.0,195.0,39.0,71.27
390.0,234.0,39.0,71.81
390.0,273.0,39.0,72.82
390.0,312.0,39.0,74.1
390.0,351.0,39.0,75.02
